source,target,relation,verdict,query,reasoning,passage_used
grains heterogeneity in flowing mass,lithology distribution in MTD,impacts,NOT_SUPPORTED,grains heterogeneity in flowing mass lithology distribution in MTD,"The source text does not directly mention grains heterogeneity in flowing mass or the lithology distribution in MTDs. It discusses the presence of structurally deformed intervals and lithified debris-flow clasts within MTDs, but does not explicitly link this to grains heterogeneity or the distributi","most likely because of the presence of structurally deformed intervals and lithified debris-flow clasts in their interior (see Strasser et al., 2012) (Figure 11B, C). As a result of these heterogeneities, CDE val- ues for MTD 5 plot as a scattered distribution of points, with energy values reaching a maximum value of approximately 0.5. This distribution results from the presence of relatively high"
existing geomorphology,posterior fluid migrations,impacts,NOT_SUPPORTED,existing geomorphology posterior fluid migrations,"The source text does not mention any relationship between existing geomorphology and posterior fluid migrations. It focuses on the geomorphology of MTCs and their potential causal mechanisms, without referencing fluid migrations.","were deposited in this region during the Plio-Pleistocene. These di¡er- ences are particularly notorious in the updip (proximal) parts of the MTCs, where initial interpretations have sug- gested that there is a connection between the geomorphol- ogy of individual MTCs and their potential causal mechanisms (Moscardelli et al., 2006). Despite the prolif- eration of papers describing MTC architecture"
existing geomorphology,pore pressure increase by fluid migration,impacts,WEAK_SUPPORT,existing geomorphology pore pressure increase by fluid migration,"The text suggests that excess pore pressure is related to the time difference between sea level falls and rises, implying a relationship between existing geomorphology (related to sea level changes) and pore pressure increase by fluid migration.","previous sea level falls and lowstands. The inherited excess pore pressure possibly is proportional to the cumulated time difference between slow, punctuated sea level falls and much faster sea level rises (Fig. 11). Gas exsolution during sea level falls increases the gas saturation and generates upward migration of the free gas. Shallower layers are, therefore, submitted to local gas exsolution b"
existing geomorphology,pore pressure increase by compression,impacts,NOT_SUPPORTED,existing geomorphology pore pressure increase by compression,The source text does not mention any relationship between existing geomorphology and pore pressure increase by compression.,"built to simulate sedimentary progradation. A new injection window is then deﬁned according to the new shape of the model and ﬂuid pressure is increased again to trigger new gravity deformations. In all the experiments, the distribution of pore pressure in the injection window was deﬁned to provide a uniform parameter λ (ratio between pore pressure and lithostatic stress) at the base of the ﬁne sa"
pore pressure increase by compression,fluid overpressure,related_to,STRONG_SUPPORT,pore pressure increase by compression fluid overpressure,"The text directly states that one mechanism for the generation of fluid overpressure is a reduction in the pore space due to contraction of the solid matrix, which is a form of compression. This implies a relationship between pore pressure increase by compression and fluid overpressure.","state. However, abnormal pressures will tend to dissipate as soon as the generating mechanism stops and provided that the rocks are permeable. In practice, therefore, overpressures are likely to be transitory (Neuzil, 1994). For the generation of ﬂuid overpressure in situ, several mechanisms have been suggested (Osborne and Swarbrick, 1997; Swarbrick et al., 2002). The overpressure may result from"
pore pressure increase by fluid migration,fluid overpressure,related_to,WEAK_SUPPORT,pore pressure increase by fluid migration fluid overpressure,"The text suggests that excess pore pressure is related to the time difference between sea level falls and rises, implying a relationship where pore pressure increases due to fluid migration during these events.","previous sea level falls and lowstands. The inherited excess pore pressure possibly is proportional to the cumulated time difference between slow, punctuated sea level falls and much faster sea level rises (Fig. 11). Gas exsolution during sea level falls increases the gas saturation and generates upward migration of the free gas. Shallower layers are, therefore, submitted to local gas exsolution b"
permeability increase,pore pressure increase by fluid migration,related_to,NOT_SUPPORTED,permeability increase pore pressure increase by fluid migration,The source text discusses changes in pore pressure and cone resistance related to permeability and drainage distance but does not explicitly state or imply a direct relationship between an increase in permeability and an increase in pore pressure by fluid migration.,"in the CFF, Fig. 8) are characterized by increases in cone resistance (qc) and a reduced pore pressure (u2) due to the permeability of sand 762 Int J Earth Sci (Geol Rundsch) (2009) 98:751–768 123 decrease from 33 to 26 and 24 to 20 kyr, and SIV to the decrease from 24 to 20 kyr, in agreement with the ﬁndings of Jouet et al. (2006) in the same area. The highest excess pore pressure is to be expect"
existing geomorphology,initial aspect ratio and top of mass slope angle,impacts,NOT_SUPPORTED,existing geomorphology initial aspect ratio and top of mass slope angle,The source text does not mention the initial aspect ratio or the top of mass slope angle in relation to existing geomorphology.,"On the use of Saint Venant equations to simulate the spreading of a granular mass A. Mangeney-Castelnau,1,2 F. Bouchut,3 J. P. Vilotte,1 E. Lajeunesse,2,4 A. Aubertin,1,2 and M. Pirulli1,2,5 Received 4 May 2004; revised 9 March 2005; accepted 11 April 2005; published 16 September 2005. [1] Cliff collapse is an active geomorphological process acting at the surface of the Earth and telluric planets."
existing geomorphology,topography confinement downwards,related_to,NOT_SUPPORTED,existing geomorphology topography confinement downwards,"The source text does not mention any relationship between existing geomorphology and topography confinement downwards. The text discusses the geomorphology of MTCs (mass transport complexes) and their proximal and distal parts, but does not link these concepts to topography confinement downwards.","were deposited in this region during the Plio-Pleistocene. These di¡er- ences are particularly notorious in the updip (proximal) parts of the MTCs, where initial interpretations have sug- gested that there is a connection between the geomorphol- ogy of individual MTCs and their potential causal mechanisms (Moscardelli et al., 2006). Despite the prolif- eration of papers describing MTC architecture"
grains heterogeneity in flowing mass,flow behavior: elastic,impacts,NOT_SUPPORTED,grains heterogeneity in flowing mass flow behavior: elastic,"The source text does not mention grains heterogeneity in flowing mass or any reference to flow behavior being elastic. The text discusses various types of flows such as creep, slides, slumps, and flows with either plastic or fluidal behavior, but there is no mention of elastic behavior specifically.","16), slide (Fig. 10C), slump (Fig. 4), and flow (Fig. 33C) are discussed in greater detail below. (Redrawn and adapted from Nemec, 1991, and Martinsen, 1994). Increasing flow velocity cm/yr m/s CREEP SLIDE SLUMP FLOW Continuum Process Creep Slides Slumps Flows (plastic behavior) Flows (fluidal behavior) Falls Grain flow Liquefied flow Fluidized flow Turbidity current Debris falls Rock falls CREEP "
grains heterogeneity in flowing mass,triggering turbidity current,impacts,NOT_SUPPORTED,grains heterogeneity in flowing mass triggering turbidity current,"The source text does not mention grains heterogeneity in flowing mass or turbidity currents directly. It discusses various geological processes such as creep, slides, slumps, and flows but does not establish a relationship between grains heterogeneity in flowing mass and triggering turbidity current","16), slide (Fig. 10C), slump (Fig. 4), and flow (Fig. 33C) are discussed in greater detail below. (Redrawn and adapted from Nemec, 1991, and Martinsen, 1994). Increasing flow velocity cm/yr m/s CREEP SLIDE SLUMP FLOW Continuum Process Creep Slides Slumps Flows (plastic behavior) Flows (fluidal behavior) Falls Grain flow Liquefied flow Fluidized flow Turbidity current Debris falls Rock falls CREEP "
triggering cascading MTDs,modifying basin geomorphology,impacts,NOT_SUPPORTED,triggering cascading MTDs modifying basin geomorphology,The source text discusses the triggering mechanisms for different types of mass transport complexes (MTCs) and their geomorphological characteristics but does not explicitly or implicitly link the triggering of MTDs to modifying basin geomorphology.,ex- tensive scarps that are tens of kilometres long and hundreds of metres deep de¢ne the updip boundaries of slope-attached MTCs in the shelf-break/upper-slope re- gion. Seismic re£ections associated with the collapsed materials that are contained in the updip parts of slope-at- tached MTCs tend to be discontinuous and chaotic. Previously described geomorphological di¡erences be- tween shelf-atta
sedimentation rate and type,compaction during burial,impacts,NOT_SUPPORTED,sedimentation rate and type compaction during burial,"The source text does not mention sedimentation rate and type in relation to compaction during burial. It discusses compaction due to burial, horizontal compression, and other factors like thermal dilation and mineralogical transformation, but does not link these processes directly to sedimentation r","or compaction during burial or horizontal compression of tectonic origin. They also result from an increase in the volume of pore ﬂuid resulting from thermal dilation, mineralogical transformation (smectite to illite) and hydrocarbon generation (for example, production of thermogenic gas at depths of over 5 km) (Barker, 1990; Cobbold et al., 2004). As soon as the generating mechanism stops, abnorm"
compaction during burial,posterior fluid migrations,related_to,NOT_SUPPORTED,compaction during burial posterior fluid migrations,"The source text discusses compaction during burial, horizontal compression, and various mechanisms that can lead to abnormal pressures, such as thermal dilation, mineralogical transformation, and hydrocarbon generation. However, it does not mention any relationship between compaction during burial a","or compaction during burial or horizontal compression of tectonic origin. They also result from an increase in the volume of pore ﬂuid resulting from thermal dilation, mineralogical transformation (smectite to illite) and hydrocarbon generation (for example, production of thermogenic gas at depths of over 5 km) (Barker, 1990; Cobbold et al., 2004). As soon as the generating mechanism stops, abnorm"
post deposition regional deformation,subsidence/uplift,related_to,WEAK_SUPPORT,post deposition regional deformation subsidence/uplift,"The text implies that tectonic subsidence, which is a form of regional deformation, occurred in response to the emplacement of a fold-and-thrust belt, suggesting a relationship between post-deposition regional deformation and subsidence.","SE migration of the main depocentres. Finally, the isopach map of seismic unit VIII shows that most sedimentation was taking place in the central part of the study area (Fig. 5c) between Haydn and Heliconius Ridges. The Callicore megachute was the main sedimen- tary conduit for sediments to reach the deep-marine region from outer-shelf and upper-slope regions. Devel- opment of levee-channel comple"
source domain in basin,near structural elements laterally,impacts,NOT_SUPPORTED,source domain in basin near structural elements laterally,"The source text does not mention any ""near structural elements laterally"" related to the ""source domain in basin."" The text discusses various structural domains and features such as headwall scarps, translational domains, and compressive domains, but does not establish a relationship between a sourc","upper and western margins consist of a sinuous headwall scarp consisting of multiple lobes, and a straight, lateral scarp (Fig. 2b). MTC-1 contains three structural domains (Fig. 2a). Its extensional domain reaches from the headwall scarp to the translational domain, the upper surface lies at a lower elevation than the adjacent lakebed in this domain,and the r 2011The Authors Basin Research r 2011"
post deposition regional deformation,US ramps or ridges,impacts,NOT_SUPPORTED,post deposition regional deformation US ramps or ridges,"The source text does not mention ""US ramps or ridges"" or any similar concept related to the object. It discusses basal ramps and their orientation, but these are not referred to as ""US ramps or ridges,"" nor is there any mention of post-deposition regional deformation in relation to such structures.","suggest mass ﬂows that are not but- tressed against a structural or topographic barrier (see Fig. 11a). In addition, the diapirs are found in the translational domain of MTDs which may indicate no signiﬁcant alteration of the stress regime during the diapir growth. Also, piercements of the MTD connote deformation of the overburden, especially during the active stage of diapirism. In contrast to th"
sea level evolution,vertical distribution of MTDs,impacts,NOT_SUPPORTED,sea level evolution vertical distribution of MTDs,The source text does not mention sea level evolution or discuss its relationship with the vertical distribution of MTDs.,"from both sides to the middle area. In the down slope area, compressional structures can be recognized obviously. Jiulong MTDs are closely associated with earthquakes, bottom current and dissolution of gas hydrate. Fig. 7 Distribution of MTDs and BSRs in the northern slope of South China Sea 23260440, 2011, 6, Downloaded from https://agupubs.onlinelibrary.wiley.com/doi/10.1002/cjg2.1684 by Bibliot"
source domain in basin,pore pressure increase by compression,impacts,NOT_SUPPORTED,source domain in basin pore pressure increase by compression,"The source text discusses various mechanisms for pore pressure increase, including compaction, thermal dilation, mineralogical transformation, and hydrocarbon generation. However, it does not specifically mention a relationship between a ""source domain in basin"" and ""pore pressure increase by compre","or compaction during burial or horizontal compression of tectonic origin. They also result from an increase in the volume of pore ﬂuid resulting from thermal dilation, mineralogical transformation (smectite to illite) and hydrocarbon generation (for example, production of thermogenic gas at depths of over 5 km) (Barker, 1990; Cobbold et al., 2004). As soon as the generating mechanism stops, abnorm"
permeability increase,local fluidization,impacts,NOT_SUPPORTED,permeability increase local fluidization,"The source text does not mention permeability increase or local fluidization. It discusses factors affecting methane hydrate formation and dissociation, including permeability, but does not establish a direct relationship between an increase in permeability and local fluidization.","total volume and pore-pressure increase during decomposition. Observations indicate a heterogeneous distribution of hydrates within the hydrate stability zone (HSZ) in which, except for massive hydrates, the space occupied by hydrates is usually low (<5%) with local peaks (up to <15%). Thus, there appears to be no continuous or homogenous methane hydrate occurrence zone (HOZ) leading to a glide pl"
seismicity or waves,permeability increase,impacts,WEAK_SUPPORT,seismicity or waves permeability increase,"The text mentions that increased permeability of sand leads to increased cone resistance and reduced pore pressure, which can be inferred to relate to changes in seismic properties.",free gas and/or (2) low p-wave velocity also generated by the presence of free gas (highest seismic amplitudes in Fig. 8). These depth levels show relatively high sand contents (mainly in the CFF) and are charac- terized by an increased cone resistance (qc) and a reduced pore pressure (u2) (Fig. 10) due to the permeability of sand. Other levels displaying similar sand contents do not show equivale
existing geomorphology,lateral erosive walls,impacts,STRONG_SUPPORT,existing geomorphology lateral erosive walls,"The text describes how the arcuate scarps along the northern lateral wall are interpreted to have been formed by the gravitational collapse of this wall, implying a direct relationship between the existing geomorphology (lateral erosive walls) and the formation of these scarps.","surfaces, suggesting that these deposits are the result of multiple periods of erosion and deposition. Along the northern lateral wall, arcuate scarps visible on variance extractions (Fig. 11a) coincide with a terrace-like geometry to the basal surface (Fig. 11c). These discontinuous erosion surfaces are overlain by deb- rites and are, therefore, interpreted to have been formed by gravitational co"
sea level evolution,seismicity or waves,impacts,WEAK_SUPPORT,sea level evolution seismicity or waves,"The text states that rising sea levels due to the decay of ice sheets lead to increased seismic activity, which implies a relationship between sea level evolution and seismicity.",(Paola and Licosa Slides) occurred in response to the relative sea- level rise or melt water pulse around 13.8 ka (20 m in 500 years). They noticed that the Big ’95 submarine slide dated around 11.5 ka also corresponds to a melt water pulse. A rise in sea level is accompanied by changes in the hydrody- namic and sedimentary regime. Vertical tectonic movements due to the decay of ice sheets (rising
seismicity,initial potential energy of mass,impacts,WEAK_SUPPORT,seismicity initial potential energy of mass,"The text states that a conical shape is formed due to the lower initial potential energy of the granular mass, implying a relationship between the initial potential energy of the mass and its shape.","a conical shape due to the lower initial potential energy of the granular mass for a given Ri. As shown in Figure 9b, for an initial conical shape the granular mass begins to spread, i.e., Rf/Ri > 1, for a � 0.64. The normalized final extent Rf/Ri decreases with increasing d for a given a. While Rf/Ri decreases continuously for a = 0.9 (20� � d � 30�), it Figure 9. Normalized (a) final height of t"
flow velocity and energy,flow behavior: elastic,related_to,NOT_SUPPORTED,flow velocity and energy flow behavior: elastic,"The source text does not mention any relationship between flow velocity and energy and flow behavior as elastic. The text discusses Hf/Ri values, failure surfaces, and numerical simulations related to granular flows, but does not link these concepts to flow behavior being elastic.","Hf /Ri is observed to saturate roughly approaching a value of the order of 0.74. This value has been associated with the angle of a failure surface within the granular column occurring upon removal of the tube dc � tan�1(0.74) � 36, 5� [Lajeunesse et al., 2004]. The rescaled front velocity and the amount of energy dissipated during the flow also appear to be independent of the mass but to vary wit"
source domain in basin,sedimentation rate and type,impacts,STRONG_SUPPORT,source domain in basin sedimentation rate and type,"The text provides specific sedimentation rates during different periods, which directly relates to the type and rate of sedimentation in the Amazon fan.","(10.7 Ma – Tortonian) was responsible for increased siliciclastic input to the Amazon River that finally led to the formation of the Amazon fan (Hoorn et al. 1995; Figueiredo et al. 2007). The Amazon fan occupies an area of approximately 160,000 km2, from the con- tinental shelf break down to 4,800 m water depth (Damuth et al. 1988). With a total of 10 km of sedimentary thickness deposited in 10 M"
local fluidization,flow behavior: elastic,related_to,NOT_SUPPORTED,local fluidization flow behavior: elastic,The source text does not mention any relationship between local fluidization and flow behavior being elastic. It discusses fluidization and its effects on the sand layer but does not relate these processes to an elastic flow behavior.,"probably owing to the different vertical pore ﬂuid and strength proﬁles. Many ﬂuidization features are distinguishable in the extensional and paleo-compressional domains. Fluidization seems to occur preferentially in the basal ﬁne sand layer (Fig. 9a,c). 8. Discussion 8.1. Mechanical behavior of the décollement layer Contrary to sand/silicone models, the mechanical behavior of the sand in our expe"
chemical effects,local fluidization,impacts,NOT_SUPPORTED,chemical effects local fluidization,"The source text does not mention ""chemical effects"" or ""local fluidization."" It discusses sea-level changes, gas-hydrate destabilization, and sedimentation processes, but does not establish any relationship between chemical effects and local fluidization.","MTD sheets in the downstream mini-basins. In contrast, the autochthonous MTD sheets and wedges, which are derived from local muddy basin walls to be deposited after sediment loading and during sea-level rise, tend to lack significant sandy facies. However, such local muddy sheets may serve as seals for underlying ponded sand units (Figs. 11, 12). There are several reasons to expect maximum slope i"
initial aspect ratio and top of mass slope angle,gravity,related_to,NOT_SUPPORTED,initial aspect ratio and top of mass slope angle gravity,"The source text does not mention the ""initial aspect ratio"" and ""top of mass slope angle"" or any direct relationship with ""gravity."" It discusses the scaling of front velocity with respect to the celerity of gravity waves and the regime of flow based on the aspect ratio, but does not link these conc","for high initial aspect ratios, corresponds to experiment a = 5.4 for which the dynamics are not correctly modeled. This interpretation is supported by the observed laboratory scal- ing of the front velocity V. For a < 3 (regime 1), V scales with the celerity of gravity waves for shallow flow ﬃﬃﬃﬃﬃﬃﬃ pgHi , while for a > 3 (regime 2), it scales with ﬃﬃﬃﬃﬃﬃﬃ pgRi [Lajeunesse et al., 2004]. In the f"
offshore events and waves,initial potential energy of mass,impacts,NOT_SUPPORTED,offshore events and waves initial potential energy of mass,"The source text does not mention offshore events and waves or any context related to offshore settings. Instead, it discusses the relationship between the initial potential energy of a mass and the deposit area, focusing on different gravitational accelerations for Earth, Mars, and the Moon.","same deposit area for terrestrial and extrater- restrial events, the potential energy does depend on g. This makes it possible to report (Figure 12) numerical results, in terms of the deposit area and initial potential energy, with the observations of Dade and Huppert [1998]. Acceleration due to gravity was taken to be g = 9.81ms�2, g = 3.7ms�2, g = 1.6ms�2 for the Earth, Mars and the Moon, respec"
sedimentation rate and type,basin depocenter position,impacts,STRONG_SUPPORT,sedimentation rate and type basin depocenter position,"The text explicitly states that sedimentation shifted from the NW to the central and SE parts of the study area, which is directly related to the migration of the main depocentres.","slope towards the central part of the basin (Figs 5a and 6). The MTCs that are described in this paper are contained in the NW and central parts of seismic unit VI (MTC_2, MTC_2.1, MTC_2.2, MTC_2.3 and MTC_2.4) (Fig. 6). Location and distribution of the main depocentres in seismic unit VII (Fig. 5b) greatly di¡er from those of the previous basin con¢guration (Fig. 5a). The isopach map of seismic u"
sedimentation rate and type,subsidence/uplift,related_to,WEAK_SUPPORT,sedimentation rate and type subsidence/uplift,"The text suggests that as sedimentation rates decrease, fluid overpressures also decrease, which can lead to changes in the geological environment such as subsidence. This implies a relationship between sedimentation rate and subsidence.","the region of extension moved towards the basin because ﬂuid overpressures decreased at the back of the shelf. In nature, basal detachments are often horizontal or sometimes they locally dip towards the shelf because of subsidence. Gravitational instabilities are then triggered by the dipping surface slope to reach its critical taper (Gemmer et al., 2004). Consequently, regions of extension and co"
sea level evolution,sedimentation rate and type,impacts,STRONG_SUPPORT,sea level evolution sedimentation rate and type,"The text provides specific sedimentation rates that correspond to different periods of sea level rise and fall, implying a relationship between sea level evolution and both the rate and type of sedimentation.","on the upper slope in the Gulf of Lion (between 26 ka and 15 ka, Berne´ et al., 2004) but ‘‘instantaneous’’ rates can reach 1 m/yr in prodeltaic settings. According to Dubar and Anthony (1995) and L’homer (1980), an average sedimentation rate was estimated around 8 m/kyr between w12 ka and w7 ka (rapid sea level rise) and around 3.5 m/kyr between w7 ka and the present (slow sea level rise) for the"
local thickening of flowing material,thickness variation,impacts,STRONG_SUPPORT,local thickening of flowing material thickness variation,"The text directly states that the shift in patterns is proportional to the local thickness of the granular layer, which implies a relationship between the local thickening of the flowing material and the thickness variation.",The local shift of the lines from the initial regular pattern (when the surface is free of beads) to the deformed pattern (in the presence of a granular mass) is proportional to the local thickness of the granular layer. This method is used in the case where the thickness is not uniform along the deposit. The thickness is measured with 200 µm of error. C. Goujon et al.: Bidisperse granular avalanc
flow behavior: elastic,runout distance,related_to,NOT_SUPPORTED,flow behavior: elastic runout distance,"The source text does not mention ""flow behavior: elastic"" or any form of elasticity in relation to the ""runout distance."" It discusses the relationship between the runout distance and the initial aspect ratio of the cylindrical mass, but does not include any reference to elastic flow behavior.","of fewer studies. Recently, laboratory experiments involving collapse and spreading of a granular mass have been performed by Lajeunesse et al. [2004] and Lube et al. [2004]. In both experiments a granular mass of cylindrical shape was suddenly released on a quasi-horizontal surface. The main conclusion is that the spreading and final deposit are controlled by the aspect ratio of the initial mass."
fluid overpressure,fluid overpressure on basal surface,impacts,WEAK_SUPPORT,fluid overpressure fluid overpressure on basal surface,"The text discusses controlling the fluid pressure on the detachment surface and balancing air pressure loss with the addition of glass microbeads, which suggests a relationship between the fluid pressure and its effect on the basal surface.","5a). The downslope edge of the cover had the shape of a triangular wedge. The surface slope of this wedge varied between 8° and 20°, depending on the series of experiments. We used materials having a negligible cohesion [Schellart, 2000], corresponding to the assumptions of the analytical model. The high permeability contrast between the glass microbeads and the sand (Table 1) allowed for ﬂuid ove"
seismicity or waves,seismicity,impacts,WEAK_SUPPORT,seismicity or waves seismicity,"The text mentions seismicity related to glacio-isostatic processes, which is a form of seismicity different from earthquake-generated seismic waves. This implies that there is a distinction and relationship between different types of seismicity.",can only be inferred from historical records or modelling scenarios for past times; this implies that uncertainty remains when relating the occurrence of certain slope failures with earthquakes. Fig. 1 shows the location of submarine slides on the formerly glaciated and non-glaciated European Margin (including NW Africa) as well as the observed seismic accelerations today. The highest accelera- ti
seismicity or waves,offshore events and waves,impacts,NOT_SUPPORTED,seismicity or waves offshore events and waves,The source text does not mention seismicity or waves in relation to offshore events and waves. It discusses the use of geophysical techniques like 3D seismic data for studying margin-tectonic events (MTCs) in offshore environments but does not establish a direct relationship between seismicity or wa,"rights reserved. 1. Introduction MTCs are important in the evolution of the world’s continental margins, from where they are commonly recognised (Hampton et al., 1996). Many studies have demonstrated the power of modern geophysical techniques, such as two-dimensional (2D) and 3D seismic reﬂection data, multibeam bathymetry and sidescan sonar imaging in the study of MTCs as we work towards a better"
seafloor effective friction angle,flow behavior: elastic,impacts,NOT_SUPPORTED,seafloor effective friction angle flow behavior: elastic,"The source text does not mention seafloor effective friction angle or any form of ""flow behavior: elastic."" It discusses granular flow experiments and simulations, focusing on friction forces and transitions between static and fluid behavior.","as previous studies that directly compare granular flow laboratory experiments along rough inclined planes with LWA numerical simulations [Pouliquen and Forterre, 2002]. [17] The friction force has a direction opposite to the averaged tangential velocity field and when flowing, the amplitude of the friction force is governed by a friction coefficient and the total overall pressure, i.e., m = kTtk/"
source domain in basin,seafloor shapes and dip variations,impacts,NOT_SUPPORTED,source domain in basin seafloor shapes and dip variations,"The source text does not mention the ""source domain in basin"" or any related concept, nor does it discuss ""seafloor shapes and dip variations."" The text focuses on seismic reflections, pressure ridges, and deposits like MTD_1.2a, MTD_1.2b, and MTD_1.3, but does not link these to the seafloor shapes ","overrides the seaﬂoor (Fig. 6B). MTD_1.2a is made up of chaotic to discontinuous seismic- reﬂections packages (Fig. 6B). A series of time-slices taken at increasing depths through the toe region of MTD_1.2a shows roughly continuous, low-amplitude bands, with a dominant circular planform, that we inter- pret as pressure ridges (Fig. 7B). MTD_1.2b laterally replaces MTD_1.2a and is marked by a chang"
existing geomorphology,seafloor shapes and dip variations,impacts,WEAK_SUPPORT,existing geomorphology seafloor shapes and dip variations,"The text describes the continental slope as consisting of wavy reflectors that correspond with undulations on the seafloor, implying a relationship between the existing geomorphology (seafloor shapes) and the dip variations (wavy reflectors).","dip of around 4°. The continental slope surrounding MTC_1 consists of low ampli- tude, low-frequency wavy reﬂectors that in plain view correspond with undulations with their crests parallel to the slope (Fig. 7A). We interpret these features as ﬁne grained contourites made up of silty-mud. This interpretation is substantiated by unpublished bore- holes carried out by Eni. MTC_1 has an 11 km wide h"
pore pressure increase by compression,fluid overpressure in moving mass,impacts,NOT_SUPPORTED,pore pressure increase by compression fluid overpressure in moving mass,The source text discusses various mechanisms for the generation of fluid overpressure and how pore pressure can vary in space and time. It does not mention any specific relationship between a pore pressure increase by compression and fluid overpressure in a moving mass.,"state. However, abnormal pressures will tend to dissipate as soon as the generating mechanism stops and provided that the rocks are permeable. In practice, therefore, overpressures are likely to be transitory (Neuzil, 1994). For the generation of ﬂuid overpressure in situ, several mechanisms have been suggested (Osborne and Swarbrick, 1997; Swarbrick et al., 2002). The overpressure may result from"
pore pressure increase by fluid migration,fluid overpressure in moving mass,impacts,NOT_SUPPORTED,pore pressure increase by fluid migration fluid overpressure in moving mass,"The source text discusses the relationship between sea level changes and pore pressure, specifically how pore pressure increases due to gas migration during sea level falls. However, it does not explicitly or implicitly link this concept to ""fluid overpressure in moving mass.""","previous sea level falls and lowstands. The inherited excess pore pressure possibly is proportional to the cumulated time difference between slow, punctuated sea level falls and much faster sea level rises (Fig. 11). Gas exsolution during sea level falls increases the gas saturation and generates upward migration of the free gas. Shallower layers are, therefore, submitted to local gas exsolution b"
fluid overpressure in moving mass,posterior fluid migrations,impacts,NOT_SUPPORTED,fluid overpressure in moving mass posterior fluid migrations,"The source text discusses overpressure sources related to sand-bearing layers and gas migration, but does not explicitly mention or imply a relationship between fluid overpressure in a moving mass and posterior fluid migrations.","mainly fed by four overpressure sources cor- responding to sand-bearing layers within an upward gas migration setting related to pockmark development. We link the observed overpressure situation to persistent hydrostatic pressure diminutions causing gas exsolution during the prolonged periods of sea level lowering of, at least, the last 340 kyr. No other overpressure sources have been identiﬁed in"
inducing seismicity,local fluidization,impacts,NOT_SUPPORTED,inducing seismicity local fluidization,"The source text does not mention either ""inducing seismicity"" or ""local fluidization."" It discusses relationships between compressibility of shales, petrophysical properties, and seismic texture in the context of mass-transport deposits, but does not link these concepts to seismicity or fluidization","to changes in the compressibility of shales, an observation that led Flodin et al. (2003) to suggest that correlations between geophysical and petrophysical data must consider the ratio Vp 2/Vs 2 as the main parameter inducing variations in the acoustic impedance of strata. This latter ratio is related to petrophysical properties of subsurface strata through the follow- ing equation: Vp=Vs � �2 ¼ "
flow behavior: elastic,terminal dispersion,impacts,NOT_SUPPORTED,flow behavior: elastic terminal dispersion,"The source text discusses the behavior of turbidity currents, including flow regimes, clay content, and turbulence. It does not mention anything related to ""flow behavior: elastic"" or ""terminal dispersion.""","flow regime in the lower, dense part of the flow and the upper turbulent turbidity current. Eddies are visible inside the turbidity current Ocean Dynamics (2010) 60:1027–1046 1033 5.3 Low clay content (5%) The low coherency of the 5% clay flows results in break-up, turbulence (Fig. 9) and extensive low-density layer production throughout the flow. The transition between lower dense and dilute flow"
lithology in transported mass,flow behavior: elastic,impacts,NOT_SUPPORTED,lithology in transported mass flow behavior: elastic,The source text does not mention any relationship between the lithology in transported mass and the flow behavior being elastic. It discusses how the lithology of mass-transport deposits reflects the staging area's lithology but does not relate this to elastic flow behavior.,"events commonly originate in the mid to upper slope (Fig. 19). These events can cause volumes of sediments as large as hundreds of cubic kilometers to be set in motion. At the other end of the spectrum, small failures of channel–levee walls can be in the order of just a few cubic meters (Figs. 20, 21). Ultimately, the lithologic character of a mass- transport deposit reflects the lithology present"
seafloor shapes and dip variations,plowing effect on underlying material,impacts,NOT_SUPPORTED,seafloor shapes and dip variations plowing effect on underlying material,The source text does not mention seafloor shapes and dip variations or any plowing effect on underlying material. It discusses the effects of strike slip faults and fold belts on channel levee distribution and morphology.,"16.5 km (Fig. 10). These strike slip faults have little effect on channel levee distribution. They do not offset Channel B at the seaﬂoor and are assumed to have pre-dated the development of Channel B. Where Channel B crosses the fold belt signiﬁcant changes in the thickness and extent of the channel levees are observed (Fig. 10A). Upon crossing Fold 1, ponding of the levee deposits occurs into th"
evaporite deformation & mud volcanism,deformed facies distribution,impacts,NOT_SUPPORTED,evaporite deformation & mud volcanism deformed facies distribution,"The source text does not mention evaporite deformation, mud volcanism, or any deformed facies distribution. It discusses landslides, sediment deformation, grain size distributions, and the composition of sediments and layers, but does not relate these concepts to evaporite deformation or mud volcani","Landslides 14 & (2017) 854 compaction. The observed scatter implies intervals of sediment deformation separated by intervals of little or no deformation, as further addressed below (Fig. 2). Grain size data of MTD 6 In order to test the hypothesis of sediment deformation involved in entrainment during flow, a detailed grain size analysis was performed for the MTD 6 sediments and the underlying san"
flow behavior: elastic,deformed facies distribution,impacts,NOT_SUPPORTED,flow behavior: elastic deformed facies distribution,"The source text does not mention ""flow behavior: elastic"" or any related concept, nor does it discuss ""deformed facies distribution"" in terms of elastic properties or behavior.","European Association of Geoscientists & Engineers and International Association of Sedimentologists 67 MTCs as markers of fold belt evolution 13652117, 2018, S1, Downloaded from https://onlinelibrary.wiley.com/doi/10.1111/bre.12208 by Bibliothèque de Sorbonne Université, Wiley Online Library on [13/03/2025]. See the Terms and Conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on Wil"
