source,target,relation,token_category,verdict,reasoning,passage_used
flow behavior: elastic,runout distance,related_to,A_direct,NOT_SUPPORTED,"The source text does not mention ""flow behavior: elastic"" or any runout distance in relation to each other. It discusses runout distances of MTD sheets but does not link this to the flow behavior being elastic.","most MTD sheets generated by such failures are relatively thin (120 to 300 ms) and have short run-out distances of 5 to 35 km across the abyssal seafloor adjacent to the slope (Table 1; Goldfinger et al., 2000; Nelson et al., 2000). These short run-out distances (Figs. 5, 6) contrast with MTD sheets"
fluid overpressure,fluid overpressure on basal surface,impacts,A_direct,NOT_SUPPORTED,"The provided source text does not mention ""fluid overpressure on basal surface"" or any similar concept that would imply or state a relationship with ""fluid overpressure.""","[ONLINE] http://pubs.usgs.gov/ of/2007/1047/srp/srp026/index.html EXPEDITION 308 SCIENTISTS, 2005, Overpressure and fluid flow processes in the deepwater Gulf of Mexico: slope stability, seeps, and shallow- water flow: International Ocean Drilling Program, Preliminary Re- port 308, doi:10:2204/iodp."
seismicity or waves,seismicity,impacts,A_direct,NOT_SUPPORTED,"The source text mentions ""seismicity"" but does not establish any relationship between ""seismicity"" and ""waves."" The text discusses various factors that could control changes, including seismicity, but does not link seismicity to waves.","These change could have been controlled by the evolution of the structures or could be attributed to externally driven, more regional controls, such as increased sediment supply, eustatic sea- level change, gas-hydrate dissolution and/or seismicity (e.g."
seismicity or waves,offshore events and waves,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention either ""seismicity or waves"" or ""offshore events and waves."" There is no information that links these concepts.","Sea plate. 796 Mass-Transport Deposits and Seismic Texture article, we discuss (1) expected CDE values for specific regions of MTDs, and (2) seal compe- tence and reservoir potential as a function of CDE distribution. DATA AND METHODS This work used 3-D seismic data covering 672 km2 (259 mi2) of the"
seafloor effective friction angle,flow behavior: elastic,impacts,A_direct,NOT_SUPPORTED,The source text does not mention the seafloor effective friction angle or any form of flow behavior described as elastic.,"b Velocity distribution with time, close to the wall (averaged in x-direction). A bipartite flow develops. At the same time, a little deposition starts to occur. c Velocity profiles (blue, solid line) and corresponding photos for head, body and tail of flow as the flow passes the upstream station. H"
source domain in basin,seafloor shapes and dip variations,impacts,A_or_B_same_chunk,NOT_SUPPORTED,"The source text does not mention the ""source domain in basin"" or ""seafloor shapes and dip variations."" It discusses seismic reflections and the structure of MTD_1.2a, but does not relate these to the seafloor shapes or dip variations.","overrides the seaﬂoor (Fig. 6B). MTD_1.2a is made up of chaotic to discontinuous seismic- reﬂections packages (Fig. 6B). A series of time-slices taken at increasing depths through the toe region of MTD_1.2a shows roughly continuous, low-amplitude bands, with a dominant circular planform, that we int"
existing geomorphology,seafloor shapes and dip variations,impacts,A_or_B_same_chunk,NOT_SUPPORTED,"The source text does not mention existing geomorphology or seafloor shapes and dip variations. It discusses en echelon tensile failures, through-going strike-slip faults, and the influence of rheology on structural development.","both en echelon tensile failures and through-going strike-slip faults. Considering the inﬂuence of rheology on structural development, this division of structural style could be used to differentiate areas of contrasting rheology. Alternatively, the differing structural styles may be a consequence o"
pore pressure increase by compression,fluid overpressure in moving mass,impacts,A_direct,NOT_SUPPORTED,The source text does not mention pore pressure increase by compression or fluid overpressure in moving mass. It discusses resolutions and methodology for mapping material types.,"maximum vertical and horizontal resolutions of ca. 10 and 40 m, respectively. 2.2. Methodology MTCs have been mapped based on the correlation of upper and lower bounding surfaces of selected units, recognised using criteria established from a number of previous studies (Embley and Jacobi, 1977; Moor"
pore pressure increase by fluid migration,fluid overpressure in moving mass,impacts,A_direct,NOT_SUPPORTED,"The provided source text does not mention either ""pore pressure increase by fluid migration"" or ""fluid overpressure in moving mass."" There is no information given that links these two geological concepts.","strength, i.e., high Vp and shear-wave velocity (Vs) values, or with abrupt AUTHORS Tiago M. Alves � 3D Seismic Lab, School of Earth and Ocean Sciences, Cardiff University, Main Building, Park Place, Cardiff CF10 3AT, United Kingdom; alvest@cardiff.ac.uk Tiago Alves has headed the 3D Seismic Lab sin"
fluid overpressure in moving mass,posterior fluid migrations,impacts,A_direct,NOT_SUPPORTED,"The provided source text does not mention either ""fluid overpressure in moving mass"" or ""posterior fluid migrations."" There is no information given that links these two concepts.","strength, i.e., high Vp and shear-wave velocity (Vs) values, or with abrupt AUTHORS Tiago M. Alves � 3D Seismic Lab, School of Earth and Ocean Sciences, Cardiff University, Main Building, Park Place, Cardiff CF10 3AT, United Kingdom; alvest@cardiff.ac.uk Tiago Alves has headed the 3D Seismic Lab sin"
inducing seismicity,local fluidization,impacts,A_direct,NOT_SUPPORTED,"The provided source text does not mention either ""inducing seismicity"" or ""local fluidization,"" nor does it discuss any relationship between these two concepts.","Harjes (2004), Seismicity of the Hellenic subduction zone in the area of western and cen- tral Crete observed by temporary local seismic networks, Tectonophysics, 383, 149–169, doi:10.1016/j.tecto.2004.02.004."
flow behavior: elastic,terminal dispersion,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention ""flow behavior: elastic"" or ""terminal dispersion."" It discusses the characteristics of mass-transport deposits and thrust faulting in box canyons.","Such features commonly terminate as a “box canyon,” with extensive, low-angle thrust faulting characterizing the mass- transport deposits near the terminus, as the flow comes in contact with and compresses against the terminal wall (Fig."
lithology in transported mass,flow behavior: elastic,impacts,A_or_B_same_chunk,NOT_SUPPORTED,"The source text does not mention either ""lithology in transported mass"" or ""flow behavior: elastic."" It discusses radiocarbon dating of a core from an MTD bed and the timing of MTD events during the Holocene and prior periods.","Damuth et al., 2006). A core from an MTD bed on a steep mini-basin wall has a radiocarbon age of ~ 6,360 yr BP and indicates that some MTD events occurred during the Holocene; however, the dominant episode of MTD near-surface deposition occurs just prior to the Holocene during rapid sea-level rise ("
seafloor shapes and dip variations,plowing effect on underlying material,impacts,B_distributed,NO_USABLE_PASSAGE,passages dechet/non co-presents,
evaporite deformation & mud volcanism,deformed facies distribution,impacts,A_or_B_same_chunk,NOT_SUPPORTED,"The provided source text does not mention either evaporite deformation, mud volcanism, or deformed facies distribution. There is no information that links these concepts together.","(consistent) occurrence, E.h. Emiliania huxleyi, P.l. Pseudoemiliania lacunosa, R.a. Reticulofenestra asanoi, G.sp.(l, m) Gephyrocapsa species (large, medium). The synthetic seismogram is from Alves et al. (2014) Landslides 14 & (2017) 851 faults observed are likely associated with loading imposed o"
flow behavior: elastic,deformed facies distribution,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention either ""flow behavior: elastic"" or ""deformed facies distribution."" It discusses the characteristics of MTD sheets in relation to submarine slope failures and their run-out distances on the abyssal seafloor.","most MTD sheets generated by such failures are relatively thin (120 to 300 ms) and have short run-out distances of 5 to 35 km across the abyssal seafloor adjacent to the slope (Table 1; Goldfinger et al., 2000; Nelson et al., 2000). These short run-out distances (Figs. 5, 6) contrast with MTD sheets"
lithology in transported mass,seafloor effective friction angle,impacts,B_distributed,NO_USABLE_PASSAGE,passages dechet/non co-presents,
lithology of underlying material downslope,seafloor effective friction angle,impacts,B_distributed,NO_USABLE_PASSAGE,passages dechet/non co-presents,
sea level evolution,pore pressure increase by fluid migration,impacts,A_direct,NOT_SUPPORTED,The source text discusses precipitation patterns and their relation to winter monsoons in the Arabian landmass. It does not mention sea level evolution or pore pressure increase by fluid migration.,"al., 2007). At present, it shows a maximum precipitation during the winter mon- soon when cyclonic low-pressure systems origi- nating in the Eastern Mediterranean occasionally penetrate the Arabian landmass (Weyhenmeyer et al., 2000; Luckge et al., 2001). Hence, winter corresponds to the present-day"
flow behavior: elastic,US median slope,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention either ""flow behavior: elastic"" or ""US median slope."" It discusses the characteristics of MTD sheets and their run-out distances on the abyssal seafloor.","most MTD sheets generated by such failures are relatively thin (120 to 300 ms) and have short run-out distances of 5 to 35 km across the abyssal seafloor adjacent to the slope (Table 1; Goldfinger et al., 2000; Nelson et al., 2000). These short run-out distances (Figs. 5, 6) contrast with MTD sheets"
topography confinement downwards,US median slope,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention either ""topography confinement downwards"" or ""US median slope."" There is no information provided that links these two concepts.","Numerical modelling of the gravity-induced destabilization of a slope: The example of the La Clapière landslide, southern France A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric Geosciences Azur, Université de Nice Sophia-Antipolis and CNRS, Valbonne, France a b s t r a c t a r t i c l e i n f o Artic"
frontal compression,US ramps or ridges,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention ""frontal compression"" or any terms related to ""US ramps or ridges."" It discusses various kinematic indicators such as scours, basal grooves, striations, cat claws, and monkey fingers but does not establish a relationship between frontal compression and US ramps or ri","These kinematic indicators can include features as varied as scours (Posamentier and Kolla, 2003; Weimer and Shipp, 2004), basal grooves and striations (Gee et al., 2006), cat claws (Moscardelli et al., 2006), monkey fingers (McGilvery and Cook, 2003), frontal and lateral ramps and flats (Lucente an"
flow direction,US median slope,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention either ""flow direction"" or ""US median slope."" It discusses the characteristics of MTD sheets and their run-out distances on the abyssal seafloor.","most MTD sheets generated by such failures are relatively thin (120 to 300 ms) and have short run-out distances of 5 to 35 km across the abyssal seafloor adjacent to the slope (Table 1; Goldfinger et al., 2000; Nelson et al., 2000). These short run-out distances (Figs. 5, 6) contrast with MTD sheets"
flow direction,US ramps or ridges,impacts,A_direct,NOT_SUPPORTED,The source text does not mention any concepts related to flow direction or US ramps or ridges. It discusses the lithologies of MTD beds in the context of the Mississippi Fan's distal depositional lobes.,"individual MTD beds have a variety of lithologies that vary from clay-clast debris flows to chaotic silt beds in mini-basins (Fig. 14; Nelson et al., 1992). In the distal depositional lobes of Mississippi Fan, however, the chaotic silts are dominant, consist of soft clay clasts in a silt matrix, and"
erosion of underlying material,BS ramps,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention either ""erosion of underlying material"" or ""BS ramps."" It discusses the evolution and chronostratigraphic significance but focuses on MTCs (likely meaning糜烂带, which translates to ""soft sediment deformation zones"") and their relation to the growth of structures in dee","evo- lution. However, there is still a paucity of detailed, three-dimensional analyses that link the timing, location and character of MTCs with the growth of individual structures within developing deep-water fold-and-thrust belts. Furthermore, the evolution and chronostrati- graphic signiﬁcance of"
volume,average thickness,related_to,A_direct,NOT_SUPPORTED,"The source text does not mention either ""volume"" or ""average thickness"" or any related concepts that could imply a relationship between them.","27° 25° 29° 90° 88° 86° 84° FIG. 13.—Map of the eastern Gulf of Mexico that shows the extent of the Mississippi Fan and surrounding geomorphic features. The distribution of channels, depositional lobes, and mass-transport deposits that cover the surface of the fan were modified from Twichell et al. "
basin depocenter position,lateral distribution of MTDs,impacts,A_or_B_same_chunk,NOT_SUPPORTED,"The source text does not mention either ""basin depocenter position"" or ""lateral distribution of MTDs"". It discusses coherence attributes and dip maps in the context of recognizing geological features such as faults and blocks.","traces in a specified window (Brown, 2011). Coherence attributes are particularly helpful to recognize faults, blocks, and other features that disrupt the lateral continuity of seismic reflections. Dip maps compute best-fit planes between im- mediate neighbour traces on a time or depth slice and cal"
existing geomorphology,lateral distribution of MTDs,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention any existing geomorphology or the lateral distribution of MTDs. It discusses anticlines, SFZ, and thrusts, which are not related to the given concepts.","from Romero, 2009 Other anticline axis projected from Romero, 2009 Southern downdip anticline SFZ and updip thrusts projected from Romero, 2009 SFZ and updip thrusts projected from Romero, 2009 Uncertain interpretation Pre-existing CLC ? Pre-C1MTCs in southern syncline Pre C1 MTCs in northern syncli"
plowing effect on underlying material,BS strong amplitude,impacts,A_or_B_same_chunk,NOT_SUPPORTED,"The source text does not mention either the ""plowing effect on underlying material"" or ""BS strong amplitude."" There is no information provided that links these two concepts.","due to a realignment of the maximum compressive stress, causing different rates of displacement across the width of the MTC toe (Frey Martinez et al., 2006). Prior et al. (1984) sug- gested that the development of pressure ridges may progress through a combination of ‘stopping’ forces and resistance"
remobilization,thickness variation,impacts,A_or_B_same_chunk,NOT_SUPPORTED,"The provided source text does not mention either ""remobilization"" or ""thickness variation."" Therefore, there is no information given that could link these two concepts.","12 for location. A.T. Reis et al. / Marine and Petroleum Geology 75 (2016) 29e52 44 Miocene e gravity tectonics and mass wasting (Figs. 3, 4 and 18). Unfortunately, however, the available chronostratigraphic database does not provide sufﬁcient accurate age data to enable us to determine the precise "
presence of preserved blocks,transparent facies distribution,impacts,A_direct,NOT_SUPPORTED,The source text does not mention anything about transparent facies distribution or its relationship to the presence of preserved blocks.,3.—A) Strike-oriented seismic profile that shows chaotic seismic facies from multiple MTD surface and subsurface slide blocks from the Middle Canyon mouth and downslope across the Beringian MTD sheet (see location in Figure 1).
post deposition regional deformation,deformed facies distribution,impacts,A_or_B_same_chunk,NOT_SUPPORTED,The source text does not mention post-deposition regional deformation or deformed facies distribution. It discusses seismic reflections and facies types but does not link these concepts to regional deformation.,section between the early Oligocene WL-U3 to early Miocene WL-U5 seismic reflections; and B) dominantly turbidite channel–levee seismic facies mixed with MTD seismic facies in a strike section in the later deposits above the WL-5 seismic reflection. The white box at the southern edge of the Antarcti
sedimentation rate and type,HS downslope evolution,impacts,B_distributed,NO_USABLE_PASSAGE,passages dechet/non co-presents,
sedimentation rate and type,MTD proportion in sedimentary pile,impacts,A_direct,NOT_SUPPORTED,"The provided source text does not mention sedimentation rate and type, nor does it discuss the proportion of mass-transport deposits (MTD) in the sedimentary pile. There is no information that links these two concepts.","Mass-transport complexes asmarkers of deep- water fold-and-thrust belt evolution: insights from the southern Magdalena fan, offshore Colombia Andrea Ortiz-Karpf,* David M. Hodgson,* Christopher A.-L. Jackson† and William D. McCaffrey* *School of Earth and Environment, University of Leeds, Leeds, UK "
subsidence/uplift,vertical distribution of MTDs,impacts,A_or_B_same_chunk,NOT_SUPPORTED,The source text does not mention any relationship between subsidence/uplift and the vertical distribution of MTDs (Middle Tertiary Detrital Systems).,"northern Sin�u fold belts; Fig. 1b). The Magdalena Fan, which is believed to have been active since the Late Miocene (Duque-Caro, 1979, 1984; Kolla & Bufﬂer, 1984; Breen, 1989; Romero-Otero, 2009), is located in a relatively undeformed area between the fold belts, extending off- shore into the Colom"
evaporite deformation & mud volcanism,BS median slope,impacts,A_or_B_same_chunk,NOT_SUPPORTED,"The provided source text does not mention either evaporite deformation, mud volcanism, or any reference to a BS median slope. There is no information that links the given geological concepts.","Turbidite system architecture and sedimentary processes along topographically complex slopes: the Makran convergent margin JULIEN BOURGET*,1, SEBASTIEN ZARAGOSI*, NADINE ELLOUZ-ZIMMERMANN�, NICOLAS MOUCHOT�, THIERRY GARLAN§, JEAN-LUC SCHNEIDER*, VALENTINE LANFUMEY– and SIGFRIED LALLEMANT� *Universit"
evaporite deformation & mud volcanism,US median slope,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention evaporite deformation, mud volcanism, or any reference to the US median slope. It focuses on turbidite system architecture and sedimentary processes along topographically complex slopes in the Makran convergent margin.","Turbidite system architecture and sedimentary processes along topographically complex slopes: the Makran convergent margin JULIEN BOURGET*,1, SEBASTIEN ZARAGOSI*, NADINE ELLOUZ-ZIMMERMANN�, NICOLAS MOUCHOT�, THIERRY GARLAN§, JEAN-LUC SCHNEIDER*, VALENTINE LANFUMEY– and SIGFRIED LALLEMANT� *Universit"
existing geomorphology,BS ramps,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention either ""existing geomorphology"" or ""BS ramps."" It discusses basin analysis, commercial interest in deep water settings, and the availability of 3D seismic surveys.","basin analysis has been highlighted in a number of recent reviews (Cartwright and Huuse, 2005; Cartwright, 2007; Posamentier et al., 2007). Commercial interest in deep water settings and the resultant increasing avail- ability of industrially acquired 3D seismic surveys has been a major factor in ou"
flow direction,BS ramps,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention ""flow direction"" or ""BS ramps"" at all. It discusses the characteristics of MTD sheets in relation to their thickness and run-out distances on the abyssal seafloor.","most MTD sheets generated by such failures are relatively thin (120 to 300 ms) and have short run-out distances of 5 to 35 km across the abyssal seafloor adjacent to the slope (Table 1; Goldfinger et al., 2000; Nelson et al., 2000). These short run-out distances (Figs. 5, 6) contrast with MTD sheets"
